,Name,phenotype,reviewCount,topEffect,thc,subtitle
1029,"Super,Sour,OG",Hybrid,56,Giggly,24.0,"Super,Sour,OG,Kush"
1030,Supernova,Hybrid,56,Sleepy,14.0,Chronic
1031,"Blackberry,Cream",Indica,56,Sleepy,15.0,"Blackberry,Creme"
1032,"Blue,Hash",Hybrid,56,Sleepy,,"Blueberry,Hash,,Blue,Hashplant"
1033,"Flowerbomb,Kush",Indica,56,Relaxed,,
1034,Cannadential,Hybrid,56,Energetic,,
1035,"Ninja,Fruit",Hybrid,55,Talkative,19.0,
1036,"Ice,Cream,Man",Indica,55,Giggly,20.0,
1037,"Lake,of,Fire",Hybrid,55,Relaxed,,
1038,"Chem,Scout",Indica,55,Relaxed,20.0,Chemscout
1039,"Cindy,White",Hybrid,55,Uplifted,19.0,
1040,"In,The,Pines",Sativa,55,Focused,5.0,
1041,"CBD,Kush",Hybrid,55,Relaxed,22.0,"Kush,CBD"
1042,"Blue,Burst",Hybrid,55,Focused,,
1043,"Himalayan,Gold",Hybrid,55,Sleepy,17.0,"Himalaya,Gold"
1044,"Black,Dahlia",Hybrid,55,Sleepy,,
1045,"Grape,Soda",Hybrid,55,Relaxed,19.0,
1046,"Hollywood,OG",Hybrid,55,Focused,17.0,"Hollywood,OG,Kush,,Hollywood,Kush"
1047,"Tangie,Biscotti",Hybrid,55,Uplifted,,
1048,"Northern,Lights,#5,x,Haze",Sativa,55,Energetic,19.0,
1049,"Platinum,Garlic",Hybrid,55,Relaxed,,
1050,"Peppermint,Cookies",Hybrid,55,Giggly,,
1051,"Chiquita,Banana",Hybrid,54,Happy,26.0,
1052,"Blue,Raspberry",Hybrid,54,Focused,,"Blue,Razz"
1053,"Purple,Ice",Hybrid,54,Creative,21.0,
1054,"Lemon,Pie",Sativa,54,Energetic,18.0,
1055,"Lemon,Cookies",Hybrid,54,Uplifted,20.0,
1056,Shangri-La,Hybrid,54,Uplifted,17.0,
1057,"Green,Lantern",Sativa,54,Talkative,20.0,
1058,"Northern,Skunk",Hybrid,54,Happy,19.0,
1059,Biochem,Indica,54,Sleepy,23.0,
1060,"Grandpa’s,Breath",Indica,54,Sleepy,19.0,
1061,"Seattle,Cough",Sativa,54,Creative,,"Dutch,Cough"
1062,"Wonka's,Bubblicious",Hybrid,54,Uplifted,,
1063,"Sugar,Plum",Sativa,54,Uplifted,20.0,
1064,Donegal,Hybrid,54,Energetic,,
1065,"Blueberry,Dream",Sativa,54,Focused,16.0,
1066,"Cherry,Garcia",Hybrid,53,Happy,,"Garcia's,Cherry,,Cherry,Gar,See,Ya"
1067,"Snow,Leopard",Indica,53,Sleepy,19.0,
1068,"Monster,OG",Hybrid,53,Hungry,,"Monster,OG,Kush"
1069,Dreamcatcher,Hybrid,53,Sleepy,,
1070,"Firewalker,OG",Sativa,53,Energetic,20.0,Firewalker
1071,Nepalese,Sativa,53,Happy,20.0,"Nepal,,Nepali,,Nepali,OG"
1072,"Pink,Rozay",Indica,53,Aroused,21.0,
1073,Lifesaver,Hybrid,53,Euphoric,14.0,
1074,"Pink,Starburst",Hybrid,53,Uplifted,25.0,
1075,"Sour,Space,Candy",Hybrid,53,Uplifted,1.0,
1076,"Triangle,Mints",Hybrid,53,Focused,27.0,
1077,"South,Beach",Hybrid,53,Talkative,,
1078,3D,Hybrid,53,Uplifted,13.0,"The,Third,Dimension"
1079,"Blue,Satellite",Sativa,53,Talkative,,
1080,Lifesaver,Hybrid,53,Euphoric,14.0,
1081,"Pink,Rozay",Indica,53,Aroused,21.0,
1082,"Pink,Starburst",Hybrid,53,Uplifted,25.0,
1083,"Gorilla,Cake",Hybrid,52,Uplifted,21.0,
1084,"Mango,Dream",Sativa,52,Energetic,18.0,
1085,Kalashnikova,Hybrid,52,Focused,,
1086,"Red,Haze",Sativa,52,Energetic,25.0,"Colombian,Red,Haze"
1087,"Queen,Mother,Goji",Indica,52,Focused,,
1088,"Sin,Valley,OG",Hybrid,52,Relaxed,22.0,"Sin,Valley,,Sin,Valley,Kush,,Sin,Valley,OG,Kush"
1089,"Golden,Nugget",Hybrid,52,Focused,21.0,
1090,"Ice,Wreck",Hybrid,52,Tingly,,
1091,"Sweet,Dreams",Hybrid,52,Sleepy,,
1092,"Sour,Sunset",Hybrid,52,Euphoric,19.0,
1093,Aloha,Sativa,52,Energetic,16.0,
1094,"Dawg's,Waltz",Hybrid,52,Tingly,27.0,"Dog,Waltz,,Dawg,Waltz"
1095,"Grandpa,Larry,OG",Indica,52,Sleepy,23.0,"Grandpa,Larry"
1096,"Mataro,Blue",Indica,52,Relaxed,23.0,
1097,"Area,51",Hybrid,52,Giggly,18.0,
1098,"Pheno,51",Hybrid,52,Relaxed,,
1099,"Space,Dawg",Indica,52,Euphoric,21.0,
1100,"Hawaiian,Skunk",Hybrid,52,Euphoric,18.0,
1101,"Purple,Champagne",Sativa,52,Uplifted,17.0,
1102,"Pineapple,Fields",Sativa,51,Giggly,20.0,
1103,"Bear,Dance",Hybrid,51,Uplifted,,
1104,"Gummy,Bears",Hybrid,51,Tingly,20.0,
1105,"Ace,Killer,OG",Indica,51,Sleepy,,"Ace,Killer,,Ace,Killer,OG,Kush"
1106,"Dream,Beaver",Sativa,51,Talkative,20.0,
1107,"Afghani,CBD",Indica,51,Sleepy,,
1108,"Donny,Burger",Indica,51,Aroused,27.0,
1109,"The,Wife",Hybrid,51,Relaxed,,
1110,"Love,Potion,#9",Indica,51,Giggly,,
1111,"Pearl,Scout,Cookies",Hybrid,51,Energetic,18.0,PSC
1112,"Green,Hornet",Hybrid,51,Energetic,,
1113,"Sour,Maui",Sativa,51,Talkative,,"Sour,Maui,Wowie"
1114,B-52,Indica,51,Sleepy,18.0,
1115,Lifter,Hybrid,51,Focused,1.0,
1116,"Jamaican,Pearl",Sativa,51,Euphoric,22.0,
1117,"Soul,Assassin,OG",Hybrid,51,Hungry,24.0,"Soul,Assassin,Kush"
1118,"Magic,Melon",Hybrid,50,Aroused,21.0,
1119,"Walker,Kush",Hybrid,50,Relaxed,,
1120,African,Sativa,50,Energetic,,
1121,"Apple,Kush",Hybrid,50,Euphoric,21.0,
1122,"Saturn,OG",Hybrid,50,Sleepy,19.0,
1123,"Blue,Nightmare",Hybrid,50,Happy,,
1124,Humboldt,Hybrid,50,Giggly,18.0,"Humboldt,Kush"
1125,"Blue,Afghani",Indica,50,Tingly,16.0,"Blueberry,Afghani"
1126,"Mercury,OG",Indica,50,Giggly,19.0,"Mercury,OG,Kush"
1127,"Colorado,Chem",Hybrid,50,Euphoric,21.0,"Colorado,Chemdawg,,Colorado,Chemdog"
1128,"Berry,Gelato",Hybrid,50,Sleepy,,"Blueberry,Gelato"
1129,"Race,Fuel,OG",Hybrid,50,Hungry,22.0,
1130,"Dog,Shit",Hybrid,49,Energetic,25.0,
1131,"Tillamook,Strawberry",Hybrid,49,Focused,15.0,
1132,"Cherry,Gorilla",Hybrid,49,Happy,22.0,"Cherry,Gorilla,Glue"
1133,"Where's,My,Bike",Hybrid,49,Talkative,19.0,
1134,"Purple,Bubba",Indica,49,Sleepy,18.0,"Purple,Bubba,Kush"
1135,"Sour,Bubble",Indica,49,Sleepy,14.0,
1136,"Supermax,OG",Hybrid,49,Tingly,25.0,"Supermax,OG,Kush,,Supermax,Kush"
1137,"Meat,Breath",Indica,49,Sleepy,18.0,Meatbreath
1138,"Thai,Lights",Hybrid,49,Giggly,11.0,
1139,"Blue,Dot",Sativa,49,Energetic,23.0,"Medical,Grade,Bud,,MGB"
1140,"Meat,Breath",Indica,49,Sleepy,18.0,Meatbreath
1141,"Thai,Lights",Hybrid,49,Giggly,11.0,
1142,"Punch,Breath",Hybrid,49,Sleepy,21.0,
1143,"Purple,Bubba",Indica,49,Sleepy,18.0,"Purple,Bubba,Kush"
1144,"Cookie,Dawg",Hybrid,49,Sleepy,23.0,
1145,"Peach,Crescendo,F-1",Hybrid,49,Tingly,25.0,
1146,"Cherry,Gorilla",Hybrid,49,Happy,22.0,"Cherry,Gorilla,Glue"
1147,"Sour,Bubble",Indica,49,Sleepy,14.0,
1148,"Buddha,Haze",Sativa,49,Uplifted,,
1149,"Sour,Pebbles",Sativa,49,Talkative,17.0,
1150,"Blue,Dot",Sativa,49,Energetic,23.0,"Medical,Grade,Bud,,MGB"
1151,"Crown,OG",Indica,49,Sleepy,20.0,"Crown,OG,Kush"
1152,"Monkey,Paw",Hybrid,49,Energetic,11.0,"Monkey,Paws"
1153,"Sour,Candy",Hybrid,48,Uplifted,17.0,
1154,"Blue,Magic",Sativa,48,Energetic,,
1155,"Bacio,Gelato",Hybrid,48,Aroused,,
1156,Godzilla,Indica,48,Hungry,21.0,
1157,"Mako,Haze",Sativa,48,Energetic,,
1158,"The,Flav",Hybrid,48,Euphoric,18.0,
1159,"Alpha,OG",Hybrid,48,Relaxed,22.0,"Alpha,Medic,OG"
1160,"Green,Love,Potion",Indica,47,Aroused,16.0,
1161,"Banana,Cream,OG",Hybrid,47,Relaxed,,"Banana,Cream"
1162,"Tally,Mon",Hybrid,47,Aroused,,"Tally,Man"
1163,Frosty,Indica,47,Sleepy,23.0,"Frosty,OG"
1164,"Valley,Girl",Hybrid,47,Happy,21.0,"Valley,Girl,OG"
1165,"Gorilla,Zkittlez",Hybrid,47,Hungry,20.0,
1166,Snowball,Hybrid,47,Relaxed,23.0,
1167,"Crown,Royale",Indica,47,Aroused,15.0,
1168,"Rainbow,Sherbet",Hybrid,47,Giggly,18.0,
1169,Durban,Hybrid,47,Energetic,18.0,
1170,Raindance,Hybrid,47,Sleepy,28.0,
1171,"Harlequin,GDP",Hybrid,47,Relaxed,5.0,
1172,Glueball,Hybrid,47,Tingly,,"Glue,Ball"
1173,"Maui,Bubble,Gift",Hybrid,47,Relaxed,7.0,MBG
1174,"Strawberry,Switchblade",Hybrid,47,Uplifted,26.0,
1175,"Wonder,Woman,OG",Indica,47,Aroused,,
1176,"Brainstorm,Haze",Sativa,46,Creative,,
1177,Katsu,Indica,46,Sleepy,20.0,"Katsu,Kush"
1178,"Light,of,Jah",Sativa,46,Energetic,17.0,
1179,"Nurse,Jackie",Sativa,46,Focused,,
1180,"Alien,Hallucination",Hybrid,46,Creative,20.0,
1181,"Frank's,Gift",Hybrid,46,Giggly,4.0,
1182,"Grape,Skunk",Indica,46,Happy,27.0,
1183,"LA,Wedding,Pop",Sativa,46,Talkative,21.0,
1184,"Fruity,Chronic,Juice",Indica,46,Talkative,18.0,"Chronic,Fruit,Juice"
1185,"Strawberries,and,Cream",Hybrid,46,Uplifted,21.0,
1186,Pez,Indica,46,Sleepy,,
1187,Rainmaker,Hybrid,46,Relaxed,19.0,"Rain,Maker"
1188,"Root,Beer,Kush",Sativa,46,Creative,,
1189,Armageddon,Hybrid,46,Hungry,14.0,
1190,"Fire,Haze",Sativa,46,Focused,19.0,
1191,"Snow,Bud",Hybrid,46,Sleepy,16.0,"Snowbud,,Acorn,,Akorn"
1192,"White,Queen",Hybrid,46,Hungry,18.0,
1193,"Purple,Jack",Hybrid,46,Uplifted,15.0,"Purple,Jack,Herer"
1194,"Dr.,Funk",Indica,46,Aroused,16.0,"Sweet,Funk"
1195,"Grape,Jelly",Hybrid,45,Aroused,,
1196,"Pink,Death,Star",Indica,45,Sleepy,22.0,"Pink,Death,,Pink,Star"
1197,"Dream,Star",Hybrid,45,Uplifted,,
1198,Banjo,Hybrid,45,Tingly,20.0,
1199,Brandywine,Indica,45,Relaxed,18.0,
1200,Acid,Hybrid,45,Creative,20.0,"Acid,OG"
1201,"Velvet,Glove",Hybrid,45,Tingly,24.0,
1202,"Crunch,Berries",Hybrid,45,Happy,21.0,
1203,"Godzilla,Glue",Hybrid,45,Sleepy,20.0,
1204,"Ya,Hemi",Hybrid,45,Giggly,17.0,"Yahemi,,Ya-Hemi"
1205,"Sour,Patch,Kiss",Hybrid,45,Focused,19.0,
1206,"Mai,Tai,Cookies",Hybrid,45,Uplifted,,
1207,"Satellite,OG",Indica,45,Tingly,20.0,"Satellite,,Satellite,OG,Kush"
1208,"GRiZ,Kush",Hybrid,45,Giggly,17.0,"Griz,OG"
1209,"OG,Poison",Hybrid,45,Sleepy,,"Poison,og"
1210,"Citradelic,Sunset",Hybrid,44,Energetic,18.0,
1211,"Afghan,Diesel",Hybrid,44,Euphoric,10.0,
1212,Freezeland,Indica,44,Hungry,,
1213,"Red,Eye,OG",Indica,44,Sleepy,19.0,
1214,Gobbstopper,Indica,44,Sleepy,,
1215,"Alien,Asshat",Hybrid,44,Giggly,22.0,
1216,Gigabud,Indica,44,Hungry,25.0,
1217,"White,Cheese",Hybrid,44,Euphoric,,
1218,"White,Siberian",Hybrid,44,Aroused,16.0,
1219,"Guava,Gelato",Hybrid,44,Aroused,25.0,
1220,"Black,Triangle",Hybrid,44,Relaxed,26.0,
1221,"Double,OG",Indica,44,Sleepy,19.0,"Double,OG,Kush"
1222,"Cherry,Sherbet",Hybrid,44,Aroused,14.0,
1223,Yummy,Hybrid,44,Sleepy,19.0,
1224,"Orange,Blossom",Hybrid,44,Hungry,,"Orange,Blossom,Trail"
1225,Orangeade,Hybrid,44,Happy,17.0,
1226,"Gorilla,Breath",Hybrid,44,Tingly,22.0,
1227,"Sour,Headband",Hybrid,44,Talkative,21.0,
1228,"Sour,Willie",Sativa,44,Energetic,,
1229,"Zeus,OG",Hybrid,44,Creative,,"Zeus,OG,Kush,,Zeus"
1230,"Black,Haze",Hybrid,44,Hungry,18.0,
1231,"Lemon,Bubble",Sativa,44,Talkative,14.0,
1232,"Space,Runtz",Hybrid,44,Sleepy,,
1233,Bubblegun,Hybrid,44,Hungry,,
1234,"Loud,Dream",Hybrid,44,Creative,14.0,
1235,"Neptune,OG",Indica,44,Sleepy,20.0,
1236,"Danky,Doodle",Indica,44,Aroused,,
1237,"Sour,Flower",Sativa,44,Energetic,11.0,
1238,"The,Grunk",Hybrid,44,Euphoric,,
1239,"Guava,Chem",Hybrid,44,Focused,21.0,
1240,"Oregon,Pineapple",Hybrid,43,Energetic,18.0,
1241,"Chaos,Kush",Indica,43,Aroused,21.0,
1242,Haole,Hybrid,43,Giggly,,
1243,"Tokyo,OG",Hybrid,43,Euphoric,20.0,"Tokyo,OG,Kush"
1244,SPK,Sativa,43,Happy,20.0,"Sour,Patch,Kids,,Sour,Patch"
1245,"Orange,Soda",Hybrid,43,Uplifted,,
1246,"Aliens,On,Moonshine",Indica,43,Focused,4.0,"Alien,Moonshine"
1247,"Purple,Widow",Hybrid,43,Giggly,18.0,"Purple,White,Widow"
1248,"Pineapple,Punch",Sativa,43,Energetic,22.0,
1249,"Star,Tonic",Hybrid,43,Focused,5.0,
1250,"Brian,Berry,Cough",Hybrid,43,Energetic,18.0,
1251,Avi-Dekel,Hybrid,43,Focused,,Avidekel
1252,"Tranquil,Elephantizer:,Remix",Indica,43,Sleepy,17.0,
1253,"Granola,Funk",Hybrid,43,Giggly,21.0,
1254,Aceh,Sativa,43,Creative,,Atjeh
1255,"Verde,Electric",Hybrid,43,Creative,,
1256,"Lemon,Sativa",Sativa,43,Talkative,28.0,
1257,"Predator,Pink",Hybrid,42,Relaxed,,
1258,"Mad,Scientist",Indica,42,Sleepy,25.0,"Mad,S"
1259,"Fruit,Spirit",Hybrid,42,Talkative,,
1260,"The,Doctor",Indica,42,Giggly,24.0,"Canna,Doctor"
1261,Elvis,Hybrid,42,Uplifted,23.0,
1262,"Double,Diesel",Sativa,42,Focused,17.0,"Double,D"
1263,"10th,Planet",Hybrid,42,Giggly,17.0,"Tenth,Planet"
1264,"Ethos,Cookies",Hybrid,42,Relaxed,22.0,"Ethos,Cookies,R2"
1265,"Ghost,Rider,OG",Indica,42,Sleepy,17.0,
1266,"Peach,Cobbler",Hybrid,42,Relaxed,23.0,
1267,"Cherry,Wine",Hybrid,42,Relaxed,1.0,
1268,"Purple,Headband",Hybrid,42,Giggly,16.0,
1269,"Hibiscus,Sunrise",Hybrid,42,Energetic,17.0,
1270,Blowfish,Hybrid,42,Aroused,,Fugu
1271,"Queso,Perro",Hybrid,41,Talkative,17.0,"Cheese,Dawg,,Dawg,Cheese"
1272,"Bubba,Diagonal",Indica,41,Sleepy,17.0,
1273,Tropicali,Hybrid,41,Aroused,18.0,"Tropicali,OG,,Tropicali,Kush"
1274,Funfetti,Hybrid,41,Happy,20.0,
1275,"Jack,47",Hybrid,41,Happy,21.0,
1276,"Hippie,Chicken",Sativa,41,Giggly,21.0,
1277,"Grape,Cookies",Indica,41,Sleepy,17.0,
1278,"Dream,Berry",Indica,41,Hungry,14.0,"Berry,Dream"
1279,"Blue,Wreck",Hybrid,41,Hungry,,"Blueberry,Trainwreck"
1280,"Orange,Skunk",Hybrid,41,Happy,22.0,
1281,"Blue,Sherbert",Hybrid,41,Uplifted,19.0,
1282,"Krypto,Chronic",Hybrid,41,Happy,,"Crypto,Chronic,,Kryptochronic,,Cryptochronic"
1283,"Jelly,Breath",Hybrid,41,Tingly,21.0,
1284,"Critical,Widow",Hybrid,41,Uplifted,21.0,"Critical,White,Widow"
1285,"White,Skunk",Hybrid,41,Sleepy,17.0,"White,Label,Skunk"
1286,Shaman,Sativa,41,Focused,11.0,
1287,VCDC,Hybrid,41,Relaxed,,
1288,"Member,OG",Hybrid,41,Sleepy,20.0,
1289,"Red,Cherry,Berry",Hybrid,40,Relaxed,,"Red,Berry,Cherry"
1290,"Crescendo,RBx1",Hybrid,40,Tingly,25.0,
1291,"Hawaiian,Purple,Kush",Indica,40,Giggly,16.0,
1292,"Blood,Orange,Kush",Indica,40,Tingly,,
1293,"Banana,Candy",Indica,40,Aroused,,
1294,"Gush,Mints",Hybrid,40,Tingly,26.0,Gushmints
1295,"Orange,Sherbert",Hybrid,40,Happy,15.0,
1296,"Chocolate,Mint,OG",Hybrid,40,Hungry,21.0,
1297,"Secret,Formula",Hybrid,40,Focused,27.0,
1298,"The,One",Hybrid,40,Creative,18.0,"Thai,x,Afghan,,The,1,,BC1"
1299,"Professor,Chaos",Hybrid,40,Focused,17.0,"Prof,Chaos,,Chaos"
1300,"Dragon,OG",Hybrid,40,Aroused,19.0,
1301,"Grape,Cake",Hybrid,40,Relaxed,24.0,
1302,"Blue,Gelato",Hybrid,40,Aroused,15.0,"Blue,Gelato,#41,,Blue,41,,Blue,#41"
1303,"Forbidden,Zkittlez",Hybrid,40,Relaxed,13.0,"Forbidden,Skittles"
1304,"Super,Cheese",Indica,40,Hungry,17.0,
1305,"Blueberry,AK",Hybrid,40,Euphoric,20.0,"Blue,AK-47,,Blueberry,AK-47"
1306,"818,OG",Indica,40,Sleepy,,"818,OG,Kush"
1307,"Grape,Inferno",Indica,40,Sleepy,20.0,
1308,NF1,Hybrid,40,Talkative,,
1309,"Blue,Sky",Hybrid,40,Giggly,20.0,
1310,"G,Wagon",Sativa,40,Energetic,,
1311,Catfish,Sativa,40,Energetic,,
1312,"Iced,Widow",Indica,40,Happy,,
1313,"U2,Kush",Indica,39,Sleepy,,"Ewe-2,Kush"
1314,"Pineapple,Dog,Shit",Hybrid,39,Creative,,
1315,"Pluto,Kush",Indica,39,Sleepy,,Pluto
1316,Bakerstreet,Indica,39,Relaxed,,
1317,"Haleigh’s,Hope",Hybrid,39,Relaxed,,
1318,"Purple,Wookie",Hybrid,39,Relaxed,16.0,"Purple,Wookies"
1319,"Han,Solo,Burger",Hybrid,39,Relaxed,,
1320,"Wild,Thailand",Sativa,39,Energetic,10.0,
1321,"Purple,Wookie",Hybrid,39,Relaxed,16.0,"Purple,Wookies"
1322,"Pluto,Kush",Indica,39,Sleepy,,Pluto
1323,Blurple,Hybrid,39,Hungry,20.0,"Blue,Dream,Purple"
1324,Wabanaki,Sativa,39,Focused,,
1325,"Tina,Danza",Hybrid,39,Relaxed,18.0,
1326,"NightFire,OG",Sativa,39,Energetic,20.0,
1327,"Heisenberg,Kush",Sativa,39,Focused,,
1328,"805,Glue",Hybrid,39,Giggly,,
1329,Edelweiss,Indica,39,Hungry,,
1330,"Lemon,Pound,Cake",Hybrid,39,Talkative,21.0,
1331,"Birds,of,Paradise",Hybrid,39,Creative,19.0,
1332,"White,Lotus",Hybrid,39,Relaxed,21.0,
1333,"Cherry,Thunder,Fuck",Hybrid,39,Euphoric,,
1334,"Cherry,Gelato",Hybrid,39,Relaxed,14.0,Cherrylato
1335,"Beast,Mode",Hybrid,38,Giggly,,"Beast,Mode,OG,,Beast,Mode,1.0,,Beast,Mode,OG,Kush"
1336,"Frisian,Dew",Hybrid,38,Euphoric,17.0,
1337,"Enemy,of,the,State",Indica,38,Sleepy,14.0,
1338,"Vader,OG",Indica,38,Sleepy,20.0,Vader
1339,"Snow,Lotus",Hybrid,38,Creative,21.0,Goohead
1340,"Rebel,Sour",Hybrid,38,Talkative,,"Rebel,Sour,2.0"
1341,"Aurora,Borealis",Indica,38,Sleepy,,"Aurora,,AB,,Aurora,B"
1342,Lucy,Hybrid,38,Relaxed,5.0,
1343,"Cake,Crasher",Hybrid,38,Relaxed,19.0,
1344,"Honey,Badger,Haze",Hybrid,38,Energetic,22.0,"Honey,Badger"
1345,"Gas,Mask",Indica,38,Sleepy,18.0,
1346,"Hell,Raiser,OG",Hybrid,38,Hungry,16.0,"Hell,Raiser,OG,Kush"
1347,"Cherry,Cream,Pie",Hybrid,38,Hungry,28.0,
1348,"Hawaiian,Diesel",Sativa,38,Aroused,,
1349,"Triple,Cheese",Indica,38,Relaxed,21.0,
1350,"Dank,Schrader",Indica,38,Relaxed,,
1351,"White,Elephant",Hybrid,38,Relaxed,18.0,"Berry,White,Elephant"
1352,"Ultimate,Trainwreck",Sativa,38,Hungry,,
1353,"Balla,Berries",Hybrid,38,Relaxed,,
1354,"Barbara,Bud",Indica,38,Sleepy,,
1355,Chloe,Hybrid,38,Energetic,,
1356,"Gorilla,Snacks",Hybrid,38,Giggly,23.0,
1357,Slapz,Hybrid,38,Aroused,,
1358,"Dosi,Punch",Indica,38,Hungry,21.0,
1359,"Lime,Haze",Sativa,37,Energetic,19.0,
1360,"Martian,Candy",Hybrid,37,Uplifted,20.0,
1361,"Purple,Rhino",Hybrid,37,Sleepy,20.0,
1362,"Twisted,Citrus",Sativa,37,Energetic,19.0,
1363,"LA,Pop,Rocks",Hybrid,37,Relaxed,20.0,"LA,Pop,Rockz,#4,,LA,Pop,Rockz"
1364,"GMO,Zkittlez",Hybrid,37,Sleepy,,
1365,Zerbert,Hybrid,37,Sleepy,15.0,
1366,Kraken,Indica,37,Sleepy,21.0,Kracken
1367,"UltraViolet,OG",Indica,37,Sleepy,17.0,"Ultraviolet,OG,Kush"
1368,"Good,Medicine",Hybrid,37,Energetic,6.0,
1369,"Orange,Cream",Hybrid,37,Tingly,19.0,"Orange,Cream,#26"
1370,"Cowboy,Kush",Hybrid,37,Happy,25.0,
1371,"Chem,Cookies",Hybrid,37,Tingly,23.0,
1372,"Sensi,Skunk",Indica,37,Relaxed,13.0,
1373,"Red,Poison",Hybrid,37,Euphoric,,
1374,"Ghost,Cookies",Hybrid,37,Sleepy,,
1375,Hercules,Hybrid,37,Happy,,
1376,"Blackberry,x,Blueberry",Indica,37,Sleepy,,
1377,Qleaner,Hybrid,37,Energetic,17.0,
1378,"Jack,Kush",Hybrid,37,Hungry,,
1379,"Cake,Face",Hybrid,37,Euphoric,16.0,
1380,"Jack,Widow",Hybrid,37,Hungry,,
1381,"Guava,Cake",Hybrid,37,Tingly,,
1382,"Ken's,Kush",Hybrid,37,Aroused,19.0,"Ken's,OG,Kush,,Ken's,OG"
1383,"Hippie,Crasher",Indica,37,Tingly,27.0,
1384,"Purple,Cotton,Candy",Indica,37,Relaxed,,
1385,Blues,Hybrid,37,Talkative,22.0,"Livers,,UK,Blues,,The,Blues"
1386,"Honey,Bun",Hybrid,37,Hungry,23.0,
1387,"Crater,Lake",Hybrid,36,Uplifted,22.0,
1388,"Orange,Herijuana",Hybrid,36,Relaxed,,
1389,"Special,Sauce",Hybrid,36,Relaxed,1.0,
1390,Magnum,Hybrid,36,Energetic,,
1391,Headspace,Hybrid,36,Uplifted,19.0,
1392,"Purple,Raine",Hybrid,36,Uplifted,16.0,
1393,"Purple,Cheddar",Indica,36,Sleepy,21.0,
1394,K-Train,Indica,36,Euphoric,,
1395,"Milky,Way",Indica,36,Sleepy,,
1396,"The,Great,Ha'Tuh",Hybrid,36,Euphoric,,
1397,"Dance,World",Sativa,36,Energetic,,
1398,"Blue,Ivy",Hybrid,36,Energetic,15.0,"Blue,Ivy,OG,,Blue,Ivy,Kush"
1399,"Skunk,Dawg",Sativa,36,Talkative,21.0,"Chemdog,Skunk"
1400,"Funky,Monkey",Indica,36,Giggly,18.0,
1401,"Venice,OG",Sativa,36,Energetic,17.0,
1402,"Bettie,Page",Hybrid,36,Aroused,19.0,
1403,"Rocky,Dennis",Hybrid,36,Euphoric,,
1404,"Clementine,Kush",Hybrid,36,Tingly,13.0,
1405,"The,Don,Mega",Hybrid,36,Hungry,,
1406,"Suver,Haze",Hybrid,36,Relaxed,1.0,
1407,"Alien,Dutchess",Sativa,36,Energetic,22.0,
1408,"Modified,Bananas",Hybrid,36,Euphoric,31.0,"Modified,Banana"
1409,"Grape,Gasoline",Hybrid,36,Uplifted,27.0,
1410,"Black,Cherry,Gelato",Hybrid,36,Aroused,22.0,
1411,"Blue,Steel",Indica,36,Relaxed,16.0,
1412,Cheesecake,Indica,36,Sleepy,21.0,
1413,"Rainbow,Belts",Hybrid,36,Talkative,20.0,"Rainbow,Belt"
1414,"Lemon,Royale",Hybrid,36,Uplifted,26.0,
1415,"Royal,Haze",Sativa,35,Creative,19.0,
1416,"CBD,Blue,Shark",Hybrid,35,Relaxed,12.0,
1417,Mojito,Hybrid,35,Uplifted,21.0,"Mojito,#1"
1418,"Forum,Cut,Cookies",Hybrid,35,Energetic,21.0,
1419,"Chili,Verde",Hybrid,35,Hungry,21.0,
1420,"Lemon,Slush",Hybrid,35,Happy,,"Lemon,Slushee"
1421,"Grape,OX",Indica,35,Sleepy,,
1422,Balmoral,Hybrid,35,Focused,,
1423,"Pineapple,Cookies",Hybrid,35,Aroused,14.0,
1424,"Blackberry,Fire",Hybrid,35,Hungry,19.0,
1425,"Nebula,2",Hybrid,35,Focused,,"Nebula,II,CBD"
1426,"Lumpy,Space,Princess",Hybrid,35,Talkative,21.0,LSP
1427,"Cactus,Cooler",Hybrid,35,Creative,20.0,
1428,"Kosher,Dawg",Hybrid,35,Focused,18.0,
1429,"Blackberry,Trainwreck",Hybrid,35,Tingly,17.0,"Blackberry,Wreck"
1430,"Kashmir,Kush",Indica,35,Relaxed,11.0,
1431,"Tres,Dawg",Hybrid,35,Sleepy,20.0,
1432,"Green,Haze",Sativa,35,Talkative,16.0,
1433,Erez,Indica,35,Sleepy,,
1434,"Josh,D,OG",Indica,35,Hungry,24.0,
1435,"Burnt,Toast",on,35,Euphoric,24.0,
1436,"Grand,Hustle",Hybrid,35,Uplifted,,
1437,"Purple,Star",Indica,35,Sleepy,,
1438,"Slimer,OG",Hybrid,35,Euphoric,,
1439,"Dragon,Fruit",Hybrid,35,Hungry,14.0,
1440,"Grand,Hustle",Hybrid,35,Uplifted,,
1441,"Purple,Star",Indica,35,Sleepy,,
1442,"Pai,Gow",Hybrid,34,Creative,21.0,
1443,"Space,Cream",Hybrid,34,Uplifted,,
1444,"Grapefruit,Durban",Sativa,34,Giggly,25.0,
1445,"Carl,Sagan",Hybrid,34,Creative,24.0,Sagan
1446,Lowryder,Hybrid,34,Hungry,,"Low,Ryder,,Lowrider,,Low,Rider"
1447,"Acid,Dough",Sativa,34,Energetic,23.0,
1448,Sweeties,Hybrid,34,Aroused,21.0,
1449,Blunicorn,Hybrid,34,Giggly,,
