,Name,phenotype,reviewCount,topEffect,thc,subtitle
116,"Jet,Fuel",Hybrid,702,Energetic,20.0,"G6,,Jet,Fuel,OG,,Jet,Fuel,G6,,Jet,Fuel,Kush,,G6,Kush"
117,"Cookies,and,Cream",Hybrid,694,Happy,20.0,"Cookies,n,Cream,,Cookies,&,Cream"
118,"Purple,Trainwreck",Hybrid,689,Euphoric,17.0,"Granddaddy,Trainwreck,,Granddaddy,Wreck,,Purple,Wreck"
119,"Khalifa,Kush",Hybrid,688,Creative,21.0,"KK,,Wiz,Khalifa,,Wiz,Khalifa,Kush,,Kalifa,Kush"
120,Afghani,Indica,679,Sleepy,18.0,"Afghan,,Afghanistan"
121,"Pineapple,Kush",Hybrid,673,Giggly,18.0,
122,"Strawberry,Banana",Hybrid,671,Relaxed,21.0,Strawnana
123,"Juicy,Fruit",Hybrid,661,Happy,18.0,"Juicy,Fruit,OG,,Fruity,Juice"
124,"Moby,Dick",Sativa,661,Energetic,17.0,
125,Flo,Hybrid,651,Energetic,15.0,"DJ,Short,Flo"
126,Afgoo,Indica,649,Sleepy,18.0,"Afghan,Goo,,Afgooey"
127,"Ghost,OG",Hybrid,648,Relaxed,19.0,"Ghost,OG,Kush"
128,"Sour,Kush",Hybrid,641,Uplifted,23.0,"Sour,OG,Kush"
129,"Sweet,Tooth",Indica,638,Euphoric,19.0,
130,J1,Hybrid,636,Energetic,19.0,"Jack,One,,Jack,1,,J-1"
131,"Blue,Diesel",Hybrid,630,Uplifted,15.0,"Blue,City,Diesel,,New,Blue,Diesel"
132,"UK,Cheese",Hybrid,627,Hungry,20.0,Cognitiva
133,"God,Bud",Indica,616,Sleepy,15.0,"Purple,God,Bud"
134,"Super,Sour,Diesel",Sativa,614,Energetic,23.0,"Super,Diesel,,Super,Sour"
135,"Space,Queen",Hybrid,611,Uplifted,23.0,
136,Blackwater,Indica,611,Sleepy,18.0,"Black,Water"
137,Grapefruit,Sativa,602,Energetic,19.0,
138,"Super,Skunk",Indica,600,Sleepy,16.0,
139,"Lemon,Diesel",Hybrid,599,Energetic,17.0,
140,"Kandy,Kush",Hybrid,597,Hungry,18.0,"Candy,Kush"
141,Blackberry,Hybrid,582,Sleepy,17.0,
142,"Deadhead,OG",Hybrid,581,Euphoric,22.0,"Dead,Head,,Deadhead,,Deadhead,OG,Kush"
143,"Banana,OG",Hybrid,578,Sleepy,21.0,
144,"Pre-98,Bubba,Kush",Indica,562,Sleepy,15.0,"Pre-98,Bubba,,P98"
145,"Vanilla,Kush",Indica,555,Sleepy,19.0,
146,"White,Russian",Hybrid,547,Energetic,21.0,
147,"Jack,Frost",Hybrid,545,Euphoric,20.0,
148,"Orange,Crush",Hybrid,545,Energetic,15.0,
149,"Lemon,OG",Hybrid,543,Hungry,19.0,"Lemon,OG,Kush"
150,Pineapple,Hybrid,539,Happy,13.0,"Pineapple,OG"
151,"Purple,Diesel",Hybrid,537,Energetic,15.0,
152,"Black,Jack",Hybrid,536,Energetic,19.0,
153,Mango,Indica,532,Hungry,17.0,"Mango,OG"
154,Clementine,Sativa,523,Energetic,18.0,
155,"Birthday,Cake",Hybrid,522,Relaxed,24.0,"Birthday,Cake,Kush,,Birthday,Cake,#3"
156,Snowcap,Hybrid,511,Energetic,19.0,"Sno,Cap,,SnoCap"
157,"$100,OG",Hybrid,508,Creative,,"$100,OG,Kush"
158,"Blueberry,Headband",Hybrid,506,Giggly,15.0,"Blue,Headband"
159,GG1,Hybrid,505,Sleepy,,"Gorilla,Glue,1,,Sister,Glue"
160,"Great,White,Shark",Sativa,505,Energetic,14.0,"Peacemaker,,White,Shark"
161,"Skunk,1",Hybrid,501,Hungry,17.0,"Skunk,No.,1,,Skunk,,Skunk,#1"
162,"Orange,Cookies",Hybrid,501,Happy,20.0,
163,"Mendo,Breath",Indica,497,Sleepy,19.0,
164,"Golden,Pineapple",Hybrid,492,Energetic,19.0,
165,"Dr.,Who",Hybrid,490,Relaxed,21.0,"Doctor,Who"
166,"Grease,Monkey",Hybrid,487,Sleepy,22.0,
167,"Hash,Plant",Indica,479,Sleepy,19.0,Hashplant
168,Herijuana,Indica,474,Sleepy,22.0,Herojuana
169,Haze,Sativa,473,Energetic,18.0,"Original,Haze,,Haze,Brothers"
170,"Platinum,Bubba,Kush",Indica,467,Sleepy,15.0,"Platinum,Bubba"
171,"Grape,God",Hybrid,467,Euphoric,17.0,
172,"Black,Diamond",Indica,466,Hungry,17.0,"Black,Diamond,OG,,Black,Diamond,Kush"
173,"OG,#18",Hybrid,461,Relaxed,22.0,"Private,Reserve,OG,,Private,Reserve,,OG,18"
174,"Sundae,Driver",Hybrid,457,Giggly,22.0,"Sunday,Driver"
175,"Jack,the,Ripper",Sativa,455,Energetic,17.0,JTR
176,"Casey,Jones",Sativa,454,Energetic,14.0,
177,"Strawberry,Kush",Hybrid,453,Hungry,19.0,
178,MAC,Hybrid,451,Happy,22.0,"Miracle,Alien,Cookies,,Miracle,Cookies"
179,707,Hybrid,432,Creative,20.0,"707,Headband"
180,Superglue,Hybrid,424,Relaxed,21.0,"Tacky,Glue"
181,"Diamond,OG",Indica,424,Sleepy,18.0,
182,Biscotti,Hybrid,418,Tingly,21.0,
183,Pennywise,Indica,416,Relaxed,8.0,
184,"Blue,Magoo",Hybrid,411,Relaxed,20.0,
185,"Blue,Widow",Hybrid,409,Sleepy,14.0,
186,"Jesus,OG",Indica,406,Focused,22.0,"Jesus,Christ,OG,,Jesus,OG,Kush,,Odysseus,OG"
187,"Grape,Stomper",Hybrid,401,Uplifted,18.0,"Sour,Grapes"
188,"Presidential,OG",Indica,394,Sleepy,18.0,"Presidential,Kush,,Presidential,OG,Kush"
189,"Black,Cherry,Soda",Hybrid,393,Relaxed,21.0,
190,"Death,Bubba",Indica,390,Sleepy,,"D,Bubba"
191,"Pineapple,Chunk",Hybrid,389,Tingly,19.0,
192,"Raspberry,Kush",Indica,388,Sleepy,20.0,
193,Permafrost,Hybrid,387,Focused,21.0,"Blue,Permafrost"
194,"Bubblegum,Kush",Indica,386,Sleepy,16.0,"Bubble,Gum,Kush"
195,"Dream,Queen",Hybrid,383,Uplifted,16.0,
196,"Snoop's,Dream",Hybrid,383,Relaxed,21.0,"Snoop's,Master,Kush"
197,"Power,Plant",Sativa,381,Talkative,15.0,
198,"Red,Dragon",Hybrid,378,Giggly,17.0,
199,"Key,Lime,Pie",Hybrid,378,Happy,20.0,"Key,Lime,GSC,,Key,Lime,Cookies"
200,"Purple,OG,Kush",Indica,377,Sleepy,19.0,
201,"Mac,1",Hybrid,376,Uplifted,22.0,"The,MAC"
202,Shishkaberry,Indica,373,Sleepy,17.0,Kish
203,"The,White",Hybrid,370,Sleepy,21.0,
204,Slurricane,Indica,369,Sleepy,21.0,
205,"Apple,Fritter",Hybrid,368,Relaxed,24.0,"Apple,Fritters"
206,"Double,Dream",Hybrid,368,Focused,21.0,
207,Rockstar,Indica,365,Sleepy,16.0,
208,"Black,Widow",Hybrid,364,Hungry,18.0,
209,"King's,Kush",Indica,364,Sleepy,21.0,"King,Kush"
210,"California,Orange",Hybrid,364,Energetic,13.0,"Cali,Orange,,Cali-O,,Cali,Orange,Bud,,COB,,Californian,Orange"
211,"Blueberry,Diesel",Hybrid,364,Euphoric,19.0,"Blueberry,Sour,Diesel"
212,"Yoda,OG",Indica,361,Sleepy,21.0,Yoda
213,"Chemdawg,#4",Hybrid,361,Hungry,25.0,"Chemdog,4,,Chemdawg,4,,Chemdawg,#4"
214,"Tropicana,Cookies",Sativa,360,Energetic,16.0,"Tropicanna,Cookies,,Tropicanna,Cookies,F2,,MTN,Trop"
215,"Monster,Cookies",Indica,357,Sleepy,18.0,
216,Jager,Indica,356,Sleepy,21.0,"Jagermeister,,Jager,Kush,,JGR"
217,"Cereal,Milk",Hybrid,352,Relaxed,22.0,
218,"3,Kings",Hybrid,352,Uplifted,19.0,"Three,Kings"
219,"Cherry,Kush",Hybrid,349,Hungry,20.0,
220,Harle-Tsu,Hybrid,348,Relaxed,0.0,"Harlequin,Tsunami"
